time,v1,v2,v3,v4,v5,v6,,a1,a2,a3,a4,a5,a6,,q1,q2,q3,q4,q5,q6
0.048,0.035698965,0.00253247,-0.009526562,-0.007280009,-5.63E-07,-1.68E-06,,2.0525072,0.145604027,-0.547728398,-0.418563168,-3.24E-05,-9.67E-05,,-1.570320585,-1.570762578,1.570669371,-1.570893344,-1.570796335,-2.24E-08
0.05,0.040097194,0.002844479,-0.010700265,-0.00817693,-6.32E-07,-1.89E-06,,2.199114858,0.156004314,-0.586851855,-0.448460537,-3.47E-05,-0.000103644,,-1.570240391,-1.570756889,1.570647971,-1.570909698,-1.570796336,-2.62E-08
0.052,0.044781309,0.003176768,-0.01195026,-0.009132151,-7.06E-07,-2.11E-06,,2.342057323,0.166144595,-0.624997226,-0.477610472,-3.69E-05,-0.000110381,,-1.570150828,-1.570750536,1.57062407,-1.570927962,-1.570796337,-3.04E-08
0.054,0.049736648,0.003528298,-0.013272633,-0.010142682,-7.84E-07,-2.34E-06,,2.477669406,0.175764861,-0.661186424,-0.505265538,-3.91E-05,-0.000116772,,-1.570051355,-1.570743479,1.570597525,-1.570948247,-1.570796339,-3.51E-08
0.056,0.05494855,0.003898028,-0.014663472,-0.011205534,-8.66E-07,-2.59E-06,,2.605951106,0.184865112,-0.695419448,-0.531425736,-4.11E-05,-0.000122818,,-1.569941458,-1.570735683,1.570568198,-1.570970659,-1.57079634,-4.03E-08
0.058,0.060402355,0.004284918,-0.016118864,-0.012317716,-9.52E-07,-2.85E-06,,2.726902423,0.19344535,-0.727696301,-0.556091066,-4.30E-05,-0.000128518,,-1.569820653,-1.570727113,1.57053596,-1.570995294,-1.570796342,-4.60E-08
0.06,0.066083401,0.00468793,-0.017634898,-0.013476239,-1.04E-06,-3.11E-06,,2.840523358,0.201505572,-0.75801698,-0.579261527,-4.48E-05,-0.000133873,,-1.569688486,-1.570717737,1.570500691,-1.571022246,-1.570796344,-5.22E-08
0.062,0.071977029,0.005106021,-0.019207661,-0.014678113,-1.13E-06,-3.39E-06,,2.946813909,0.209045781,-0.786381486,-0.600937119,-4.65E-05,-0.000138883,,-1.569544532,-1.570707525,1.570462275,-1.571051603,-1.570796347,-5.90E-08
0.064,0.078068577,0.005538153,-0.020833241,-0.015920349,-1.23E-06,-3.68E-06,,3.045774078,0.216065975,-0.81278982,-0.621117844,-4.80E-05,-0.000143547,,-1.569388395,-1.570696449,1.570420609,-1.571083443,-1.570796349,-6.64E-08
0.066,0.084343385,0.005983285,-0.022507725,-0.017199956,-1.33E-06,-3.98E-06,,3.137403864,0.222566155,-0.83724198,-0.6398037,-4.95E-05,-0.000147865,,-1.569219708,-1.570684482,1.570375593,-1.571117843,-1.570796352,-7.43E-08
0.068,0.090786792,0.006440378,-0.024227201,-0.018513946,-1.43E-06,-4.28E-06,,3.221703266,0.22854632,-0.859737968,-0.656994687,-5.08E-05,-0.000151838,,-1.569038135,-1.570671602,1.570327139,-1.571154871,-1.570796355,-8.29E-08
0.07,0.097384136,0.006908391,-0.025987756,-0.019859327,-1.54E-06,-4.59E-06,,3.298672286,0.234006471,-0.880277783,-0.672690806,-5.20E-05,-0.000155466,,-1.568843366,-1.570657785,1.570275163,-1.57119459,-1.570796358,-9.20E-08
0.072,0.104120758,0.007386284,-0.027785479,-0.021233112,-1.64E-06,-4.91E-06,,3.368310924,0.238946608,-0.898861425,-0.686892056,-5.31E-05,-0.000158748,,-1.568635125,-1.570643012,1.570219592,-1.571237056,-1.570796361,-1.02E-07
0.074,0.110981996,0.007873018,-0.029616457,-0.022632308,-1.75E-06,-5.23E-06,,3.430619178,0.24336673,-0.915488894,-0.699598438,-5.41E-05,-0.000161684,,-1.568413161,-1.570627266,1.57016036,-1.571282321,-1.570796365,-1.12E-07
