time,v1,v2,v3,v4,v5,v6,,a1,a2,a3,a4,a5,a6,,q1,q2,q3,q4,q5,q6
0.042,0.024263567,0.001209294,-0.004582485,-0.003476317,-2.69E-07,-8.03E-07,,1.612684229,0.080376005,-0.30457604,-0.231054293,-1.79E-05,-5.34E-05,,-1.570559262,-1.570784512,1.570751554,-1.570830292,-1.57079633,-7.85E-09
0.044,0.027782151,0.001384659,-0.005247015,-0.003980435,-3.08E-07,-9.20E-07,,1.759291886,0.087682915,-0.332264771,-0.252059229,-1.95E-05,-5.83E-05,,-1.570510735,-1.570782093,1.570742389,-1.570837245,-1.57079633,-9.46E-09
0.046,0.03159395,0.001574639,-0.005966922,-0.004526564,-3.50E-07,-1.05E-06,,1.905899543,0.094989825,-0.359953502,-0.273064165,-2.11E-05,-6.31E-05,,-1.570455171,-1.570779324,1.570731895,-1.570845205,-1.570796331,-1.13E-08
0.048,0.035698965,0.001779232,-0.006742206,-0.005114702,-3.95E-07,-1.18E-06,,2.0525072,0.102296734,-0.387642233,-0.294069101,-2.27E-05,-6.80E-05,,-1.570391983,-1.570776175,1.570719961,-1.570854259,-1.570796331,-1.34E-08
0.05,0.040097194,0.00199844,-0.007572868,-0.00574485,-4.44E-07,-1.33E-06,,2.199114858,0.109603644,-0.415330964,-0.315074036,-2.44E-05,-7.28E-05,,-1.570320585,-1.570772616,1.570706477,-1.570864488,-1.570796332,-1.58E-08
0.052,0.044781309,0.002231896,-0.008457523,-0.006415958,-4.96E-07,-1.48E-06,,2.342057323,0.116727881,-0.442327477,-0.335553849,-2.59E-05,-7.75E-05,,-1.570240391,-1.570768619,1.570691331,-1.570875978,-1.570796333,-1.84E-08
0.054,0.049736648,0.002478869,-0.009393402,-0.007125924,-5.51E-07,-1.65E-06,,2.477669406,0.123486772,-0.467939553,-0.354983414,-2.74E-05,-8.20E-05,,-1.570150828,-1.570764155,1.570674416,-1.57088881,-1.570796334,-2.14E-08
0.056,0.05494855,0.00273863,-0.010377736,-0.00787265,-6.09E-07,-1.82E-06,,2.605951106,0.129880318,-0.492167193,-0.373362733,-2.89E-05,-8.63E-05,,-1.570051355,-1.570759198,1.570655629,-1.570903061,-1.570796335,-2.47E-08
0.058,0.060402355,0.003010447,-0.011407757,-0.008654034,-6.69E-07,-2.00E-06,,2.726902423,0.135908518,-0.515010396,-0.390691805,-3.02E-05,-9.03E-05,,-1.569941458,-1.57075372,1.570634874,-1.570918807,-1.570796336,-2.83E-08
0.06,0.066083401,0.003293589,-0.012480695,-0.009467975,-7.32E-07,-2.19E-06,,2.840523358,0.141571373,-0.536469162,-0.40697063,-3.15E-05,-9.41E-05,,-1.569820653,-1.5707477,1.570612059,-1.570936115,-1.570796338,-3.23E-08
0.062,0.071977029,0.003587327,-0.013593782,-0.010312373,-7.97E-07,-2.38E-06,,2.946813909,0.146868883,-0.556543492,-0.422199209,-3.26E-05,-9.76E-05,,-1.569688486,-1.570741112,1.570587097,-1.570955051,-1.570796339,-3.67E-08
0.064,0.078068577,0.003890929,-0.014744249,-0.011185128,-8.65E-07,-2.58E-06,,3.045774078,0.151801047,-0.575233385,-0.43637754,-3.37E-05,-0.000100851,,-1.569544532,-1.570733938,1.57055991,-1.570975676,-1.570796341,-4.14E-08
0.066,0.084343385,0.004203665,-0.015929327,-0.01208414,-9.34E-07,-2.79E-06,,3.137403864,0.156367865,-0.592538842,-0.449505625,-3.48E-05,-0.000103885,,-1.569388395,-1.570726156,1.570530421,-1.570998046,-1.570796343,-4.66E-08
0.068,0.090786792,0.004524804,-0.017146247,-0.013007306,-1.01E-06,-3.01E-06,,3.221703266,0.160569338,-0.608459863,-0.461583463,-3.57E-05,-0.000106677,,-1.569219708,-1.570717748,1.570498562,-1.571022214,-1.570796344,-5.22E-08
0.07,0.097384136,0.004853615,-0.01839224,-0.013952529,-1.08E-06,-3.22E-06,,3.298672286,0.164405466,-0.622996446,-0.472611055,-3.65E-05,-0.000109225,,-1.569038135,-1.570708699,1.57046427,-1.571048229,-1.570796346,-5.82E-08
