time,v1,v2,v3,v4,v5,v6,,a1,a2,a3,a4,a5,a6,,q1,q2,q3,q4,q5,q6,
0.046,0.035698965,0.002829376,-0.010643452,-0.008133515,-6.29E-07,-1.88E-06,,2.0525072,0.162674585,-0.611943859,-0.467635349,-3.62E-05,-0.000108075,,-1.570391983,-1.57076428,1.570675774,-1.570888451,-1.570796334,-2.13E-08,
0.048,0.040097194,0.003177964,-0.01195476,-0.009135591,-7.06E-07,-2.11E-06,,2.199114857,0.174294198,-0.655654135,-0.501037873,-3.87E-05,-0.000115795,,-1.570320585,-1.570758621,1.570654487,-1.570904718,-1.570796335,-2.51E-08,
0.05,0.044781309,0.003549211,-0.013351304,-0.010202801,-7.89E-07,-2.36E-06,,2.342057323,0.185623321,-0.698271654,-0.533605335,-4.13E-05,-0.000123322,,-1.570240391,-1.570752265,1.570630577,-1.570922989,-1.570796337,-2.93E-08,
0.052,0.049736648,0.003941954,-0.014828711,-0.011331807,-8.76E-07,-2.62E-06,,2.477669406,0.196371463,-0.738703659,-0.564502671,-4.36E-05,-0.000130462,,-1.570150828,-1.570745167,1.570603875,-1.570943395,-1.570796338,-3.40E-08,
0.054,0.05494855,0.004355031,-0.016382611,-0.012519266,-9.68E-07,-2.89E-06,,2.605951106,0.206538625,-0.77695015,-0.59372988,-4.59E-05,-0.000137217,,-1.570051355,-1.570737283,1.570574217,-1.570966058,-1.57079634,-3.92E-08,
0.056,0.060402355,0.004787281,-0.018008634,-0.01376184,-1.06E-06,-3.18E-06,,2.726902423,0.216124806,-0.813011127,-0.621286963,-4.80E-05,-0.000143586,,-1.569941458,-1.570728573,1.570541452,-1.570991097,-1.570796342,-4.50E-08,
0.058,0.066083401,0.005237541,-0.019702407,-0.015056188,-1.16E-06,-3.48E-06,,2.840523358,0.225130006,-0.846886591,-0.64717392,-5.00E-05,-0.000149569,,-1.569820653,-1.570718998,1.570505435,-1.571018621,-1.570796344,-5.14E-08,
0.06,0.071977029,0.005704649,-0.02145956,-0.01639897,-1.27E-06,-3.79E-06,,2.946813909,0.233554225,-0.878576541,-0.671390751,-5.19E-05,-0.000155165,,-1.569688486,-1.570708523,1.57046603,-1.571048733,-1.570796346,-5.83E-08,
0.062,0.078068577,0.006187444,-0.023275722,-0.017786845,-1.38E-06,-4.11E-06,,3.045774078,0.241397465,-0.908080977,-0.693937455,-5.37E-05,-0.000160376,,-1.569544532,-1.570697114,1.570423111,-1.571081531,-1.570796349,-6.59E-08,
0.064,0.084343385,0.006684763,-0.025146522,-0.019216473,-1.49E-06,-4.44E-06,,3.137403863,0.248659723,-0.935399899,-0.714814033,-5.53E-05,-0.000165201,,-1.569388395,-1.570684739,1.57037656,-1.571117105,-1.570796352,-7.41E-08,
0.066,0.090786792,0.007195445,-0.027067588,-0.020684514,-1.60E-06,-4.78E-06,,3.221703266,0.255341,-0.960533308,-0.734020485,-5.68E-05,-0.00016964,,-1.569219708,-1.570671369,1.570326266,-1.571155538,-1.570796355,-8.30E-08,
0.068,0.097384136,0.007718328,-0.029034551,-0.022187627,-1.72E-06,-5.13E-06,,3.298672286,0.261441297,-0.983481202,-0.75155681,-5.81E-05,-0.000173693,,-1.569038134,-1.570656979,1.570272131,-1.571196907,-1.570796358,-9.26E-08,
0.07,0.104120758,0.008252249,-0.031043038,-0.023722473,-1.83E-06,-5.48E-06,,3.368310924,0.266960613,-1.004243583,-0.76742301,-5.93E-05,-0.000177359,,-1.568843366,-1.570641542,1.570214062,-1.571241282,-1.570796361,-1.03E-07,
0.072,0.110981996,0.008796047,-0.033088679,-0.025285711,-1.95E-06,-5.84E-06,,3.430619178,0.271898949,-1.02282045,-0.781619083,-6.04E-05,-0.00018064,,-1.568635125,-1.570625037,1.570151976,-1.571288727,-1.570796365,-1.14E-07,
0.074,0.117953191,0.00934856,-0.035167102,-0.026874001,-2.08E-06,-6.21E-06,,3.485597049,0.276256304,-1.039211804,-0.794145029,-6.14E-05,-0.000183535,,-1.568413161,-1.570607445,1.570085799,-1.571339298,-1.570796369,-1.25E-07,
0.076,0.12501968,0.009908625,-0.037273938,-0.028484003,-2.20E-06,-6.58E-06,,3.533244538,0.280032678,-1.053417643,-0.80500085,-6.22E-05,-0.000186044,,-1.568177254,-1.570588748,1.570015465,-1.571393046,-1.570796373,-1.38E-07,
0.078,0.132166803,0.010475081,-0.039404814,-0.030112376,-2.33E-06,-6.96E-06,,3.573561643,0.283228072,-1.065437969,-0.814186544,-6.29E-05,-0.000188167,,-1.567927215,-1.570568931,1.569940917,-1.571450014,-1.570796377,-1.51E-07,
0.08,0.1393799,0.011046766,-0.041555359,-0.03175578,-2.46E-06,-7.34E-06,,3.606548366,0.285842485,-1.075272781,-0.821702113,-6.35E-05,-0.000189904,,-1.567662881,-1.570547981,1.569862107,-1.571510239,-1.570796382,-1.65E-07,
0.082,0.146644309,0.011622518,-0.043721203,-0.033410876,-2.58E-06,-7.72E-06,,3.632204706,0.287875917,-1.08292208,-0.827547554,-6.40E-05,-0.000191255,,-1.567384122,-1.570525887,1.569778996,-1.571573751,-1.570796387,-1.80E-07,
0.084,0.15394537,0.012201175,-0.045897975,-0.035074321,-2.71E-06,-8.11E-06,,3.650530663,0.289328369,-1.088385864,-0.83172287,-6.43E-05,-0.00019222,,-1.567090833,-1.570502642,1.569691554,-1.571640572,-1.570796392,-1.95E-07,
0.086,0.161268423,0.012781575,-0.048081303,-0.036742777,-2.84E-06,-8.49E-06,,3.661526238,0.29019984,-1.091664135,-0.834228059,-6.45E-05,-0.000192799,,-1.566782942,-1.57047824,1.569599758,-1.571710721,-1.570796397,-2.11E-07,
0.088,0.168598806,0.013362555,-0.050266817,-0.038412904,-2.97E-06,-8.88E-06,,3.665191429,0.29049033,-1.092756891,-0.835063123,-6.46E-05,-0.000192992,,-1.566460405,-1.570452677,1.569503595,-1.571784206,-1.570796403,-2.28E-07,
0.09,0.175929189,0.013943536,-0.052452331,-0.04008303,-3.10E-06,-9.26E-06,,3.665191429,0.29049033,-1.092756891,-0.835063122,-6.46E-05,-0.000192992,,-1.566123208,-1.570425952,1.569403062,-1.571861032,-1.570796409,-2.46E-07,
0.092,0.183259571,0.014524517,-0.054637845,-0.041753156,-3.23E-06,-9.65E-06,,3.665191429,0.29049033,-1.092756892,-0.835063122,-6.46E-05,-0.000192992,,-1.565771349,-1.570398065,1.569298157,-1.571941198,-1.570796415,-2.65E-07,
0.094,0.190589954,0.015105497,-0.056823358,-0.043423282,-3.36E-06,-1.00E-05,,3.665191429,0.29049033,-1.092756891,-0.835063123,-6.46E-05,-0.000192992,,-1.56540483,-1.570369016,1.569188881,-1.572024705,-1.570796422,-2.84E-07,
